date,time,open,high,low,close,volumn
20200619,1600,11442,11465,11437,11448,3159
20200619,1700,11448,11450,11431,11449,1030
20200619,1800,11449,11457,11445,11450,1141
20200619,1900,11449,11455,11445,11449,433
20200619,2000,11448,11457,11446,11455,438
20200619,2100,11456,11460,11448,11453,590
20200619,2200,11454,11459,11438,11443,1231
20200619,2300,11443,11448,11415,11424,1897
20200620,0000,11424,11435,11409,11415,1595
20200620,0100,11415,11416,11333,11386,4989
20200620,0200,11387,11390,11350,11361,1817
20200620,0300,11361,11380,11356,11377,980
20200620,0400,11377,11387,11362,11362,810
20200620,0500,11364,11364,11339,11353,1004
20200622,0945,11352,11498,11351,11468,21754
20200622,1045,11467,11482,11419,11421,12745
20200622,1145,11421,11434,11390,11421,9971
20200622,1245,11421,11445,11414,11421,4760
20200622,1345,11421,11425,11391,11423,7701
20200622,1600,11426,11439,11407,11430,1892
20200622,1700,11430,11436,11416,11426,945
20200622,1800,11425,11436,11421,11423,663
20200622,1900,11423,11426,11412,11416,662
20200622,2000,11415,11419,11404,11419,1047
20200622,2100,11418,11424,11407,11417,581
20200622,2200,11417,11425,11395,11419,2104
20200622,2300,11420,11448,11418,11423,2614
20200623,0000,11424,11441,11420,11439,1059
20200623,0100,11438,11462,11438,11455,1212
20200623,0200,11456,11465,11447,11456,544
20200623,0300,11456,11468,11444,11465,507
20200623,0400,11465,11473,11448,11472,666
20200623,0500,11471,11475,11462,11470,639
20200623,0945,11471,11540,11346,11373,34748
20200623,1045,11372,11480,11350,11452,20343
20200623,1145,11452,11477,11449,11450,5793
20200623,1245,11450,11467,11442,11455,3735
20200623,1345,11454,11469,11447,11455,5394
20200623,1600,11470,11500,11460,11496,2830
20200623,1700,11497,11505,11491,11492,1349
20200623,1800,11492,11503,11489,11496,737
20200623,1900,11497,11507,11494,11504,673
20200623,2000,11505,11510,11499,11507,564
20200623,2100,11506,11525,11505,11516,1180
20200623,2200,11515,11521,11502,11516,1925
20200623,2300,11516,11529,11504,11517,2085
20200624,0000,11516,11533,11512,11528,1486
20200624,0100,11529,11538,11528,11532,790
20200624,0200,11532,11547,11531,11541,832
20200624,0300,11541,11541,11526,11529,487
20200624,0400,11529,11530,11513,11518,736
20200624,0500,11519,11522,11500,11507,778
20200624,0945,11507,11570,11507,11514,19936
20200624,1045,11515,11550,11510,11534,9470
20200624,1145,11533,11535,11503,11508,6825
20200624,1245,11509,11531,11506,11519,3512
20200624,1345,11519,11526,11506,11523,5209
20200624,1600,11520,11528,11460,11486,3893
20200624,1700,11485,11489,11452,11476,2568
20200624,1800,11476,11479,11446,11460,1829
20200624,1900,11460,11471,11457,11468,801
20200624,2000,11468,11478,11465,11471,721
20200624,2100,11469,11485,11463,11484,856
20200624,2200,11484,11491,11455,11458,2240
20200624,2300,11459,11471,11441,11452,2954
20200625,0000,11452,11457,11398,11414,4174
20200625,0100,11413,11436,11409,11436,1744
20200625,0200,11436,11438,11415,11426,1006
20200625,0300,11426,11437,11413,11425,782
20200625,0400,11425,11452,11425,11438,1337
20200625,0500,11439,11450,11435,11436,688
20200629,0945,11437,11458,11371,11421,20574
20200629,1045,11420,11442,11385,11389,9615
20200629,1145,11390,11409,11317,11327,15776
20200629,1245,11325,11360,11315,11334,7143
20200629,1345,11336,11369,11325,11361,8560
20200629,1600,11361,11397,11357,11380,2858
20200629,1700,11379,11384,11362,11382,1129
20200629,1800,11383,11391,11371,11386,811
20200629,1900,11387,11390,11370,11380,745
20200629,2000,11380,11408,11377,11403,1104
20200629,2100,11404,11410,11391,11394,976
